slug,name,lat,lon,zoom
au-arnhem-land,AU Arnhem Land,-13.769,135.319,7
au-barkly,AU Barkly,-19.856,134.398,7
au-cape-york,AU Cape York,-12.631,142.69,7
au-east,AU East,-28.009906,145.4592851,5
au-east-kimberley,AU East Kimberley,-16.357,128.079,7
au-north,AU North,-14.1,131.1,7
au-nsw-far-west,AU NSW Far West,-31.51,143.53,7
au-pilbara,AU Pilbara,-21.782,118.043,7
au-qld-north-west,AU Qld North west,-20.71,140.449,7
au-red-centre,AU Red Centre,-24.031,133.187,7
au-sa-far-north,AU SA Far North,-28.705,134.539,7
au-tas,AU Tasmania,-42.208,146.492,8
au-west,AU West,-28.176,118.081,6
au-west-kimberley,AU West Kimberley,-17.958,122.245,7
cl-norte-de-aysen,CL Norte de Aysén,-45.487,-72.389,8
cl-sur-de-aysen,CL Sur de Aysén,-47.236,-72.614,8
emea,EMEA,48.546,15.688,5
jp-okinawa,JP Okinawa,26.4724,127.9193,10
north-america,North America,53.49,-101.25,3
nz-north-island,NZ North Island,-38.72,175.847,7
nz-south-island,NZ South Island,-43.914,170.431,7
patagonia-extremo-sur,Patagonia Extremo Sur,-51.456,-71.406,7
south-america,South America,-26.71,-62.93,3
tierra-del-fuego,Tierra del Fuego,-54.151,-68.599,7
